xmin,ymin,xmax,ymax,class
1844,9,1914,35,button
1663,7,1683,31,icon
1559,4,1592,35,icon
1692,6,1724,36,icon
1730,7,1762,37,icon
1767,5,1799,35,icon
1806,4,1838,34,icon
663,7,694,36,icon
622,5,659,41,icon
531,2,559,41,icon
449,4,484,40,icon
407,5,444,39,icon
293,4,328,37,icon
247,6,288,40,icon
156,4,199,42,icon
54,2,87,36,icon
1,1,49,40,icon
1,1,1918,40,block
3,44,46,84,icon
3,82,46,122,icon
3,120,46,160,icon
4,160,46,195,icon
7,192,49,227,icon
4,228,46,263,icon
2,264,44,299,icon
3,302,45,337,icon
5,350,47,385,icon
3,388,45,423,icon
3,436,45,471,icon
4,472,46,507,icon
4,511,46,546,icon
2,544,44,579,icon
5,593,47,628,icon
1,42,49,939,block
66,152,93,176,icon
368,864,396,891,icon
56,860,1602,899,block
167,904,194,936,icon
1529,900,1561,937,icon
1566,901,1601,939,icon
56,902,1601,940,block
1536,831,1601,860,icon
53,45,1602,864,chart
1484,559,1503,581,icon
1458,559,1479,582,icon
1722,914,1764,939,icon
1883,897,1914,934,icon
1882,851,1913,888,icon
1879,666,1914,702,icon
1879,624,1914,660,icon
1882,564,1917,600,icon
1882,517,1917,553,icon
1882,471,1917,507,icon
1881,427,1916,463,icon
1880,380,1915,416,icon
1881,335,1916,371,icon
1883,280,1918,316,icon
1880,234,1915,270,icon
1882,187,1917,223,icon
1881,144,1916,180,icon
1881,98,1916,134,icon
1879,48,1914,84,icon
1832,50,1867,86,icon
1792,48,1827,84,icon
1755,48,1790,84,icon
1682,49,1707,85,icon
1614,51,1711,82,form
1876,42,1919,939,block
1607,41,1878,91,block
1832,505,1866,531,icon
1703,737,1726,762,icon
1622,686,1639,709,icon
1618,681,1861,727,block
1616,737,1859,767,button
1616,780,1863,909,table
1621,500,1651,532,icon
1732,541,1757,565,icon
1604,491,1876,940,block
1617,129,1643,154,icon
1616,159,1643,184,icon
1618,185,1642,214,icon
1618,217,1647,245,icon
1618,244,1646,274,icon
1621,280,1646,302,icon
1621,302,1644,334,icon
1619,335,1646,365,icon
1617,365,1647,394,icon
1622,397,1646,426,icon
1617,426,1642,454,icon
1618,455,1643,486,icon
1607,90,1876,490,table
1607,42,1877,940,block
