xmin,ymin,xmax,ymax,class
24,24,68,70,icon
32,123,64,156,icon
32,176,64,211,icon
33,229,65,268,icon
33,284,63,321,icon
30,341,64,374,icon
28,397,65,430,icon
272,181,297,208,icon
270,234,300,263,icon
47,588,93,633,icon
47,682,283,726,button
37,838,57,862,icon
274,838,296,861,icon
56,890,86,923,icon
190,896,225,924,icon
2,1,334,1916,block
22,490,309,750,block
335,1,1399,92,block
369,202,1024,569,block
1035,207,1369,567,block
369,578,1365,1070,block
370,1078,1367,1569,block
368,1580,1368,1900,block
435,1668,457,1692,icon
430,1727,460,1752,icon
433,1785,456,1809,icon
432,1844,456,1868,icon
1219,1631,1280,1656,button
410,1654,990,1882,table
773,1191,794,1212,icon
395,1147,1327,1539,chart
45,519,64,553,icon
390,229,410,262,icon
396,606,415,639,icon
395,1103,414,1136,icon
397,1604,414,1638,icon
1144,614,1181,644,icon
1193,616,1234,643,icon
1298,617,1319,640,icon
561,999,584,1026,icon
1190,1005,1218,1026,icon
389,657,1295,978,chart
419,450,458,490,icon
565,450,580,467,icon
713,450,754,490,icon
876,452,892,465,icon
396,425,998,546,block
396,297,997,414,block
737,322,752,338,icon
968,230,990,255,icon
1062,366,1197,409,button
1153,390,1355,567,image
1324,26,1369,66,image
936,21,1049,69,button
371,28,405,63,icon
658,28,708,61,icon
365,21,717,70,form
1079,30,1108,62,logo
1135,35,1158,58,icon
1185,27,1232,66,icon
1260,25,1297,68,icon
896,224,1000,264,block
1136,608,1324,646,block
22,884,308,928,block
