xmin,ymin,xmax,ymax,class
49,40,78,70,logo
49,122,77,149,icon
48,180,79,211,icon
48,244,80,275,icon
46,307,81,342,icon
48,365,84,403,icon
46,424,85,461,icon
46,482,87,526,icon
171,839,222,890,icon
37,822,157,911,image
1356,29,1403,79,image
1095,162,1404,385,image
1168,485,1222,537,image
1241,484,1294,538,image
1310,484,1365,542,image
1383,483,1427,540,image
383,137,416,165,icon
559,136,593,164,icon
735,133,769,168,icon
911,134,947,166,icon
1093,29,1146,77,icon
1004,54,1019,69,icon
1379,117,1404,143,icon
1094,484,1157,541,icon
953,244,999,278,icon
1095,637,1152,694,logo
1096,716,1150,774,logo
1097,798,1151,852,logo
1096,877,1152,934,logo
310,560,1013,936,chart
674,240,1015,533,chart
1083,584,1422,937,table
36,697,247,918,block
19,19,263,939,block
311,116,1014,216,block
309,242,649,535,block
1062,2,1427,966,block
