xmin,ymin,xmax,ymax,class
999,18,1038,59,image
578,76,772,275,image
842,92,1074,248,image
181,463,535,688,chart
549,464,812,691,chart
27,25,65,62,logo
405,23,437,55,icon
17,95,45,126,icon
17,136,47,165,icon
17,174,48,205,icon
16,213,50,248,icon
15,255,49,288,icon
15,295,49,328,icon
15,336,50,369,icon
15,608,49,642,icon
15,648,49,682,icon
201,104,247,147,icon
948,23,978,55,icon
1046,28,1063,47,icon
193,310,235,351,icon
293,307,309,334,icon
355,311,396,351,icon
457,307,474,336,icon
516,310,559,352,icon
618,307,635,337,icon
678,309,720,351,icon
782,306,797,337,icon
858,320,891,353,icon
861,381,888,410,icon
861,439,889,468,icon
858,494,891,528,icon
857,609,889,640,icon
859,656,888,687,icon
839,265,1075,546,table
840,563,1075,698,table
180,296,328,442,block
341,296,489,442,block
504,295,652,441,block
664,296,812,442,block
181,91,812,273,block
392,15,812,63,form
1,1,165,702,block
828,79,1085,702,block
849,311,1067,361,block
849,370,1067,420,block
849,427,1067,477,block
848,486,1066,536,block
849,603,1067,645,block
850,651,1068,693,block
