xmin,ymin,xmax,ymax,class
235,155,266,187,icon
235,214,270,245,icon
237,261,273,299,icon
233,315,269,348,icon
235,360,269,397,icon
237,410,267,444,icon
235,461,273,503,icon
235,515,273,552,icon
235,561,271,601,icon
232,610,273,651,icon
229,659,271,701,icon
114,853,183,952,icon
232,1037,265,1074,icon
231,1097,270,1130,icon
228,1211,270,1245,icon
621,52,650,82,icon
1112,61,1141,89,icon
1157,57,1189,87,icon
1162,151,1196,181,icon
1178,352,1191,381,icon
1174,409,1192,437,icon
554,997,574,1019,icon
875,998,892,1015,icon
1186,994,1200,1014,icon
1023,468,1041,487,icon
1065,53,1099,86,image
365,43,656,90,form
974,672,1146,701,form
949,460,1169,493,button
1012,715,1108,745,button
948,202,1157,327,image
1107,293,1150,323,logo
1092,787,1185,840,chart
1094,870,1187,939,chart
329,719,867,960,chart
308,424,592,618,chart
612,423,891,619,chart
303,209,590,402,chart
611,207,895,405,chart
610,1022,898,1276,chart
308,1022,591,1276,table
919,1019,1200,1279,table
328,1043,360,1070,image
325,1087,361,1115,image
328,1132,361,1160,image
324,1176,362,1206,image
325,1222,360,1252,image
635,1040,661,1069,icon
633,1086,661,1114,icon
637,1131,662,1159,icon
633,1176,664,1203,icon
633,1219,661,1248,icon
303,637,898,984,block
606,134,900,182,block
337,23,1201,112,block
907,130,1201,980,block
1,1019,286,1140,block
1,1186,286,1279,block
2,134,286,986,block
2,20,285,115,block
920,353,954,384,icon
922,411,956,442,icon
