xmin,ymin,xmax,ymax,class
51,818,128,847,button
155,797,208,907,image
27,669,227,911,block
47,20,207,66,logo
54,158,88,191,icon
53,209,87,242,icon
55,264,89,297,icon
55,318,89,351,icon
54,371,88,404,icon
54,423,88,456,icon
1,1,257,940,block
1206,20,1242,58,icon
1408,20,1444,58,icon
1266,20,1305,59,image
1071,2,1453,80,block
768,39,1021,266,image
421,201,441,218,icon
640,205,699,247,image
333,191,457,225,button
294,69,1035,267,block
807,289,1034,575,chart
724,313,745,335,icon
651,308,678,336,icon
648,308,750,338,form
978,614,1003,645,icon
295,290,783,574,chart
918,611,1008,646,form
294,597,1037,903,table
1121,700,1158,738,logo
1119,759,1156,797,logo
1119,821,1156,859,logo
1120,882,1157,920,logo
1089,636,1436,933,table
1120,429,1229,461,logo
1102,408,1431,607,image
1116,175,1153,210,icon
1118,271,1153,306,icon
1289,173,1324,208,icon
1290,270,1325,305,icon
1103,151,1260,234,block
1102,245,1259,328,block
1273,150,1430,233,block
1274,244,1431,327,block
1070,80,1454,940,block
324,716,350,743,image
323,762,349,789,image
323,811,349,838,image
324,858,350,885,image
