xmin,ymin,xmax,ymax,class
1,49,33,86,icon
1,98,33,135,icon
1,147,33,184,icon
1,193,33,230,icon
1,259,33,296,icon
1,306,33,343,icon
1,376,33,413,icon
34,801,120,877,image
4,881,149,915,button
1,46,164,917,block
1200,8,1239,37,icon
1343,8,1382,37,icon
1603,7,1642,36,icon
1818,7,1857,36,icon
1866,7,1883,37,icon
1,1,1883,48,block
1287,62,1317,91,icon
1318,61,1348,90,icon
1293,107,1323,136,icon
1624,107,1654,136,icon
1784,108,1814,137,icon
1292,105,1487,138,form
1499,107,1655,136,form
1664,108,1816,137,form
1437,152,1676,181,button
1225,199,1288,225,icon
1226,198,1876,627,chart
1208,58,1883,642,block
575,58,608,92,icon
1156,604,1189,635,icon
566,605,797,635,block
1122,93,1141,131,icon
1142,90,1192,130,button
1087,96,1141,131,form
1042,93,1086,130,icon
1003,92,1043,132,icon
964,91,1004,132,icon
923,92,965,132,icon
822,92,887,132,icon
787,93,823,131,icon
748,91,787,134,icon
709,91,749,134,icon
665,92,709,134,icon
566,92,665,134,form
519,94,555,135,icon
520,135,556,169,icon
519,171,556,205,icon
520,205,558,241,icon
519,241,559,276,icon
521,277,560,313,icon
519,314,559,352,icon
521,352,560,392,icon
519,398,560,436,icon
520,438,560,473,icon
519,476,559,519,icon
516,520,558,554,icon
519,558,560,593,icon
520,593,561,616,icon
509,615,563,642,icon
564,91,1192,132,block
511,92,567,641,block
750,142,775,163,icon
567,137,589,164,icon
563,135,1191,635,chart
509,59,1193,641,block
606,657,641,686,icon
576,657,604,687,icon
509,655,1136,915,table
1202,657,1231,687,icon
1286,657,1313,685,icon
1381,657,1410,686,icon
1467,655,1495,685,icon
1495,655,1528,686,icon
1202,688,1234,709,icon
1149,655,1882,916,table
178,641,498,916,table
295,562,323,591,icon
323,562,355,591,icon
386,603,414,631,icon
260,601,416,635,form
177,562,498,916,form
260,60,287,90,icon
289,59,323,91,icon
363,118,406,136,button
282,488,392,536,icon
252,168,414,249,block
253,253,414,331,block
254,340,415,414,block
253,423,413,498,block
255,505,413,547,block
177,59,497,551,block
