xmin,ymin,xmax,ymax,class
129,68,254,192,image
5,23,61,39,button
5,62,60,119,icon
4,128,62,184,icon
4,192,61,248,button
105,392,130,415,icon
105,435,130,461,icon
106,477,131,506,icon
104,521,132,550,icon
104,566,133,594,icon
1349,81,1381,112,icon
892,253,921,282,icon
676,248,720,282,icon
1354,249,1389,280,icon
368,326,710,566,chart
886,48,1219,148,chart
104,875,131,901,icon
261,877,287,902,button
423,751,510,806,icon
908,624,942,654,icon
950,624,981,655,icon
805,357,837,386,icon
1016,358,1052,389,icon
1232,357,1264,388,icon
780,509,812,541,icon
994,509,1027,543,icon
1207,509,1240,542,icon
1298,715,1382,800,icon
1213,800,1298,883,icon
1298,801,1382,883,icon
1057,645,1114,671,icon
765,324,1379,566,table
1,1,67,939,block
68,1,317,939,block
1034,624,1381,880,block
372,703,559,882,block
582,703,769,882,block
791,706,978,885,block
317,1,1430,190,block
