xmin,ymin,xmax,ymax,class
21,131,50,157,icon
22,186,52,217,icon
23,232,53,263,icon
22,283,53,314,icon
23,330,54,360,icon
24,374,54,408,icon
22,425,55,458,icon
514,113,533,131,icon
767,33,791,58,icon
1019,25,1058,66,icon
1082,23,1126,66,icon
1212,34,1232,53,icon
1151,20,1203,70,image
952,159,1213,325,image
1054,482,1118,545,image
997,487,1047,535,image
1130,488,1172,534,image
1175,681,1198,704,icon
968,501,993,526,icon
1178,501,1201,525,icon
999,346,1022,367,icon
1144,346,1166,366,icon
857,432,878,453,icon
624,179,661,217,logo
624,244,661,281,logo
625,310,662,344,logo
246,92,562,381,chart
248,410,911,742,chart
587,94,909,379,table
934,95,1233,382,block
754,23,991,67,form
65,670,156,707,button
22,602,198,740,block
1,1,220,769,block
951,601,1216,650,form
952,670,1217,718,form
932,410,1234,743,block
1154,280,1203,315,logo
609,169,891,225,block
609,236,891,290,block
610,301,891,353,block
805,427,885,458,block
