xmin,ymin,xmax,ymax,class
5,73,57,111,logo
1,150,53,198,icon
1,216,52,264,icon
1,285,52,333,icon
1,353,52,401,icon
1,419,52,467,icon
1,486,52,534,icon
1,557,52,605,icon
1,622,52,670,icon
1,693,52,741,icon
1,760,52,808,icon
1,828,52,876,icon
1,897,52,945,icon
1,1177,52,1225,icon
1,131,59,1164,block
1698,8,1715,42,icon
1611,12,1630,41,icon
1698,79,1716,106,icon
1667,75,1697,112,icon
1621,75,1647,113,icon
1596,73,1617,112,icon
1545,70,1578,114,icon
1493,70,1529,116,icon
1443,69,1479,114,icon
1096,75,1126,112,icon
1092,73,1434,113,form
1030,78,1071,107,icon
635,82,658,106,icon
553,80,572,106,icon
457,82,481,107,icon
188,78,220,108,icon
1,2,1732,56,block
1,56,1731,128,block
82,179,379,346,block
400,180,697,347,block
713,179,1010,346,block
1033,178,1330,345,block
1590,199,1702,233,button
1390,254,1428,293,logo
1369,180,1719,407,block
1621,446,1701,482,button
650,418,785,451,button
1552,1052,1686,1087,button
1390,518,1417,547,icon
1390,582,1417,611,icon
1390,647,1417,676,icon
1388,831,1415,860,icon
1389,899,1416,928,icon
1386,971,1413,1000,icon
1654,755,1702,802,logo
1387,1039,1697,1099,form
1371,737,1719,1118,block
1368,427,1719,714,table
1350,131,1732,1229,block
855,499,885,527,icon
1263,490,1297,523,icon
1266,666,1300,699,icon
843,468,1309,540,form
844,541,1311,611,form
844,660,1312,709,form
824,397,1330,723,block
1288,780,1309,804,icon
1224,774,1312,807,form
906,844,936,869,icon
1155,841,1182,873,icon
1059,963,1097,1001,icon
1282,931,1297,955,icon
1225,931,1249,956,icon
1224,931,1300,957,form
1282,1008,1298,1031,icon
1223,1006,1247,1031,icon
1220,1004,1301,1033,form
841,840,1311,875,button
845,908,1312,980,form
843,980,1314,1052,form
1269,1103,1297,1133,icon
843,1093,1312,1146,form
1167,1165,1309,1198,button
820,746,1333,1222,block
768,509,785,539,icon
733,509,788,540,form
402,506,725,540,chart
97,417,144,455,icon
231,417,252,436,icon
181,620,205,642,icon
371,598,396,626,icon
563,617,586,644,icon
731,598,758,625,icon
79,398,802,726,block
230,761,250,790,icon
98,768,140,806,icon
700,769,740,804,icon
748,768,785,807,icon
464,828,786,861,block
96,826,397,859,button
81,747,802,1222,chart
