xmin,ymin,xmax,ymax,class
45,36,80,67,logo
29,112,48,132,icon
28,148,49,168,icon
29,182,50,207,icon
28,218,52,245,icon
27,257,49,281,icon
26,295,50,321,icon
29,382,49,403,icon
29,420,48,439,icon
123,567,147,586,icon
18,616,72,644,icon
17,568,50,601,image
802,30,826,51,icon
1105,18,1120,35,icon
208,412,512,624,chart
528,409,832,623,chart
1039,203,1077,218,icon
902,52,1117,173,image
920,450,938,470,icon
920,478,938,495,icon
921,504,938,521,icon
920,530,938,548,icon
920,556,938,574,icon
920,582,938,600,icon
921,609,938,627,icon
900,402,1120,640,table
538,230,553,244,icon
795,230,811,245,icon
277,118,291,133,icon
435,118,453,133,icon
595,118,611,133,icon
753,118,771,133,icon
209,76,354,194,chart
366,76,513,194,chart
525,75,674,194,chart
684,74,832,195,chart
208,213,572,393,chart
589,212,831,393,chart
1,2,179,652,block
530,23,832,58,form
901,191,1119,388,block
856,1,1163,652,block
