xmin,ymin,xmax,ymax,class
354,874,684,932,button
86,63,244,108,logo
93,166,242,314,image
89,506,127,539,icon
90,570,128,603,icon
89,625,127,658,icon
90,681,128,714,icon
91,878,130,912,icon
26,33,306,949,block
598,289,676,326,logo
335,102,703,343,image
381,443,444,475,logo
633,445,654,471,icon
354,427,684,491,block
375,521,400,545,image
640,566,664,586,logo
353,662,402,710,image
353,731,402,779,image
353,802,402,850,image
355,505,682,605,block
347,619,687,859,table
334,370,700,949,block
770,53,813,87,icon
1263,34,1332,102,icon
1181,34,1250,102,icon
747,34,1166,104,form
1078,162,1133,214,icon
1078,254,1135,308,icon
961,196,1003,239,icon
773,266,823,315,image
832,265,882,314,image
892,266,942,315,image
953,266,1003,315,image
746,130,1030,342,block
1053,128,1332,341,block
777,394,804,423,icon
1117,399,1137,418,icon
1193,394,1211,419,icon
1282,397,1298,415,icon
1228,393,1303,420,form
747,368,1333,659,chart
893,762,921,791,icon
1095,762,1123,791,icon
1294,761,1322,790,icon
758,858,807,909,logo
962,858,1011,909,logo
1166,858,1215,909,logo
746,737,932,949,block
947,737,1133,949,block
1149,736,1335,948,block
