xmin,ymin,xmax,ymax,class
230,412,1078,539,table
236,155,1076,307,table
9,73,30,97,icon
7,108,31,137,icon
6,148,33,178,icon
6,185,34,216,icon
6,223,35,255,icon
5,261,36,294,icon
4,298,38,332,icon
5,336,37,368,icon
5,374,38,408,icon
198,327,210,406,icon
167,76,185,95,icon
502,40,522,59,icon
932,74,953,96,icon
951,75,975,98,icon
982,74,1003,98,icon
1003,74,1023,98,icon
1023,73,1045,99,icon
1046,72,1066,98,icon
1066,71,1085,99,icon
1053,318,1071,336,icon
175,38,526,60,form
160,73,224,96,block
974,315,1079,338,block
1,66,39,720,block
38,66,1092,104,block
39,104,220,720,block
8,8,73,26,button
