xmin,ymin,xmax,ymax,class
59,87,521,354,image
838,97,878,136,image
839,158,878,198,image
838,223,880,265,image
840,286,878,325,image
838,349,878,389,image
57,386,782,796,chart
656,426,681,452,icon
813,40,1083,441,block
1380,75,1412,105,icon
818,477,1539,1167,chart
572,57,602,89,image
417,283,486,328,logo
98,1063,375,1140,button
467,1063,745,1141,button
1388,220,1487,258,button
1391,326,1487,363,button
551,39,783,376,block
59,833,782,1165,block
1139,196,1513,282,block
1139,302,1514,387,block
1106,38,1539,443,block
491,420,760,457,block
1367,67,1515,113,block
1284,409,1370,425,button
901,408,1002,425,button
