xmin,ymin,xmax,ymax,class
19,23,52,57,logo
1118,28,1149,57,icon
1162,28,1192,60,icon
1375,31,1396,53,icon
759,159,784,183,icon
877,158,905,185,icon
1210,26,1260,62,image
1054,226,1087,259,icon
1052,293,1089,323,icon
1054,379,1088,409,icon
1054,445,1090,473,icon
1056,531,1089,563,icon
1055,598,1088,625,icon
1055,682,1087,715,icon
1055,750,1089,779,icon
1357,292,1392,323,icon
1361,441,1391,473,icon
1358,593,1392,626,icon
1358,745,1390,779,icon
90,407,921,711,chart
1053,680,1085,713,icon
1,1,1408,82,block
79,127,927,304,block
80,337,929,714,block
77,746,930,823,block
1039,652,1402,793,block
1039,503,1402,639,block
1038,350,1401,488,block
1040,200,1401,336,block
1007,84,1408,823,block
400,778,607,803,form
874,369,896,393,icon
757,368,900,395,form
398,367,608,393,form
