xmin,ymin,xmax,ymax,class
1115,919,1143,948,icon
1005,906,1381,965,button
44,46,81,81,icon
38,160,75,195,icon
38,239,75,274,icon
38,321,75,356,icon
37,401,74,436,icon
38,479,75,514,icon
25,937,62,972,icon
996,47,1033,82,icon
1286,42,1323,77,icon
1345,117,1382,152,icon
1349,417,1386,452,icon
1156,738,1193,773,icon
918,746,955,781,icon
1031,820,1068,855,icon
927,317,964,352,icon
1337,43,1380,82,image
292,118,612,281,block
635,116,955,279,block
292,310,964,719,chart
287,746,966,986,table
997,291,1397,390,chart
995,170,1395,269,chart
1002,485,1324,682,image
1343,485,1380,683,image
1,1,265,1015,block
