xmin,ymin,xmax,ymax,class
36,47,69,80,logo
521,54,548,82,icon
31,149,62,180,icon
30,209,65,237,icon
35,260,66,291,icon
31,316,66,349,icon
31,372,66,409,icon
28,813,61,846,icon
1221,55,1254,88,icon
1281,53,1315,88,icon
1337,53,1373,89,icon
590,755,627,792,icon
947,757,984,794,icon
1046,571,1089,614,logo
1044,641,1088,686,logo
1046,711,1088,754,logo
1045,780,1089,822,logo
1044,849,1090,892,logo
1021,557,1379,917,table
291,487,635,726,chart
654,488,971,728,chart
302,736,615,813,chart
658,738,970,814,chart
639,214,951,413,chart
248,213,583,412,image
1121,161,1275,292,image
425,51,547,86,button
273,119,992,444,block
281,470,998,842,block
1258,475,1358,509,button
1020,442,1381,556,block
1020,117,1382,441,block
