xmin,ymin,xmax,ymax,class
223,269,486,358,chart
544,267,807,359,chart
860,266,1120,360,chart
208,179,500,368,block
526,182,815,367,block
842,179,1131,367,block
1,1,180,1051,block
210,18,1127,66,block
196,409,1145,1042,table
1055,460,1134,493,button
14,205,48,236,icon
11,270,48,310,icon
12,339,51,376,icon
12,404,47,446,icon
11,471,49,511,icon
217,963,269,1016,icon
220,528,259,567,logo
217,606,251,639,logo
218,691,250,724,logo
219,792,251,825,logo
219,872,250,905,logo
872,588,981,654,chart
873,680,983,743,chart
875,773,987,839,chart
876,859,993,922,chart
285,459,334,497,icon
344,28,363,50,logo
456,31,474,53,logo
568,31,586,53,logo
677,30,699,54,logo
788,31,811,53,logo
902,29,923,51,logo
1013,31,1036,53,logo
230,31,251,50,logo
