xmin,ymin,xmax,ymax,class
1045,44,1089,87,image
1113,50,1131,82,icon
997,50,1027,83,icon
949,50,983,84,icon
391,50,428,82,icon
292,50,311,85,icon
95,194,125,227,icon
94,256,127,289,icon
94,320,128,352,icon
93,385,129,416,icon
93,449,128,480,icon
93,513,128,544,icon
179,593,220,627,icon
804,627,826,648,icon
1012,559,1082,591,image
779,129,1105,373,table
369,127,759,373,chart
370,554,759,661,chart
779,425,934,526,chart
948,426,1105,527,chart
907,403,926,419,icon
1077,401,1097,419,icon
697,348,749,366,button
371,46,918,88,form
1,1,319,694,block
1153,1,1233,695,image
941,44,1135,90,block
778,550,1105,660,block
779,397,935,526,block
948,396,1104,525,block
370,413,551,536,block
579,413,759,537,block
