xmin,ymin,xmax,ymax,class
115,90,216,118,logo
112,140,137,165,icon
198,140,222,166,icon
298,140,325,162,icon
459,137,491,166,icon
589,137,616,167,icon
803,88,834,119,icon
840,86,873,119,icon
931,90,959,116,icon
1219,183,1253,211,icon
1260,262,1295,296,icon
1259,586,1292,618,icon
576,293,603,321,icon
757,294,789,322,icon
101,343,872,681,chart
918,146,1181,248,chart
904,300,1298,559,table
913,619,1309,874,chart
842,707,871,738,icon
108,734,378,805,chart
107,809,378,881,chart
107,885,378,952,chart
417,740,871,959,chart
1195,921,1285,955,image
1303,146,1314,557,icon
754,96,772,110,icon
892,902,1330,974,block
916,145,1288,249,block
891,129,1331,974,block
891,78,1330,128,block
69,77,893,129,block
69,128,892,210,block
69,210,892,975,block
575,292,735,323,form
