xmin,ymin,xmax,ymax,class
1371,4,1398,31,icon
1478,4,1510,33,icon
1515,3,1548,34,icon
1574,4,1606,35,icon
1669,2,1701,34,icon
1704,2,1736,35,icon
1740,2,1771,36,icon
1,2,1918,36,block
1313,34,1335,66,icon
1337,35,1364,65,icon
1231,72,1252,96,icon
1143,71,1253,96,form
1364,71,1383,94,icon
1257,71,1389,94,form
1456,71,1471,92,icon
1501,71,1524,94,icon
1527,68,1552,93,icon
1559,67,1588,96,icon
1390,71,1473,93,form
1478,70,1519,94,form
1599,67,1632,97,icon
1637,67,1667,98,icon
1673,66,1713,99,icon
1715,65,1752,98,icon
1756,65,1793,101,icon
1799,62,1839,101,icon
1889,62,1918,97,icon
1139,70,1918,98,block
1140,35,1918,724,chart
526,38,553,64,icon
553,36,580,65,icon
447,70,471,97,icon
580,70,604,97,icon
668,68,692,95,icon
699,68,723,95,icon
738,68,765,97,icon
773,67,800,97,icon
808,68,839,96,icon
851,68,875,95,icon
897,67,921,94,icon
932,68,956,95,icon
979,65,1006,95,icon
1017,66,1044,96,icon
1111,67,1131,91,icon
360,71,470,95,form
475,70,605,96,form
606,69,691,95,form
359,70,1136,95,block
358,39,1139,723,chart
532,743,555,767,icon
368,776,391,800,icon
632,775,655,799,icon
670,775,693,799,icon
705,775,728,799,icon
752,777,775,801,icon
799,776,822,800,icon
833,774,856,798,icon
877,776,900,800,icon
1139,742,1162,766,icon
1344,743,1367,767,icon
354,835,377,859,icon
355,863,374,884,icon
355,891,374,912,icon
355,918,374,939,icon
356,944,375,965,icon
356,969,375,990,icon
355,741,1918,989,table
1822,993,1848,1017,icon
1784,992,1820,1019,icon
1,988,24,1015,icon
1,986,1918,1019,block
194,39,221,67,icon
221,39,248,67,icon
247,40,274,68,icon
274,39,301,67,icon
302,38,329,66,icon
302,86,329,114,icon
6,293,26,318,icon
259,291,284,315,icon
301,264,329,286,icon
179,261,331,285,form
310,131,331,157,icon
21,133,46,155,icon
189,36,332,68,block
180,133,334,255,button
21,134,173,256,button
1,38,341,319,block
3,322,342,475,chart
134,481,163,510,icon
151,512,173,534,icon
174,513,199,536,icon
200,510,227,535,icon
14,510,174,536,form
77,544,104,566,icon
3,481,340,508,button
1,480,342,756,table
1,36,342,987,block
