xmin,ymin,xmax,ymax,class
14,12,35,36,logo
14,48,35,70,icon
15,78,36,100,icon
15,108,36,130,icon
15,139,36,161,icon
15,169,36,191,icon
15,200,36,222,icon
7,7,44,598,block
51,13,64,29,icon
86,14,99,28,icon
83,12,245,29,form
586,11,603,28,icon
698,15,708,28,icon
771,14,784,29,icon
736,14,784,29,form
711,13,728,29,image
609,11,709,29,form
571,51,581,60,icon
547,47,661,65,button
671,48,784,63,button
202,87,218,99,icon
385,87,405,102,icon
572,89,590,101,icon
758,87,776,101,icon
53,76,230,140,block
238,77,415,141,block
421,76,598,140,block
608,76,785,140,block
158,163,261,224,chart
401,164,505,223,chart
511,160,528,175,icon
54,149,539,233,block
744,207,764,224,icon
744,266,764,283,icon
743,326,763,343,icon
743,385,763,402,icon
742,444,762,461,icon
756,486,776,503,icon
746,545,766,562,icon
746,579,766,596,icon
52,475,785,600,table
559,185,772,233,block
558,245,771,293,block
557,303,770,351,block
558,362,771,410,block
558,422,771,466,block
547,151,784,467,block
395,253,460,268,button
462,255,527,267,button
54,243,539,467,table
