xmin,ymin,xmax,ymax,class
1,29,21,51,icon
1,53,21,75,icon
1,81,21,103,icon
1,107,22,129,icon
1,486,21,508,icon
1,511,21,533,icon
32,513,102,533,button
109,513,179,533,button
186,513,274,533,button
30,85,48,103,logo
266,108,281,127,icon
247,108,265,128,icon
227,108,266,128,form
275,4,289,23,icon
257,3,271,22,icon
415,3,429,22,icon
475,3,489,22,icon
536,3,550,22,icon
564,3,587,22,icon
30,4,290,24,form
294,4,495,24,form
499,4,551,24,form
592,4,609,24,icon
748,6,764,22,icon
797,4,814,23,icon
592,3,655,25,button
660,4,687,25,button
692,4,741,25,button
744,2,788,25,button
797,4,853,24,button
809,29,856,48,button
707,29,721,46,icon
626,29,640,45,icon
541,31,554,46,icon
519,30,533,46,icon
282,31,296,45,icon
235,29,249,46,icon
167,29,181,45,icon
89,29,101,46,icon
30,31,43,45,icon
231,55,255,77,icon
255,55,278,77,icon
29,29,84,46,button
86,30,163,47,button
167,29,232,47,button
234,29,277,47,button
282,30,375,46,button
380,30,441,46,button
447,29,534,46,form
539,30,621,46,button
627,29,702,46,button
708,29,804,46,button
1,1,26,536,block
27,80,281,106,form
26,1,857,52,block
646,59,666,79,icon
671,58,691,78,icon
698,58,718,78,icon
724,58,744,78,icon
751,59,771,79,icon
797,58,845,79,button
646,92,717,111,button
724,92,785,111,button
481,92,502,111,icon
835,93,855,111,icon
812,93,831,113,icon
789,93,809,113,icon
509,92,641,113,form
472,85,858,117,block
471,86,857,535,block
285,139,469,232,chart
452,238,466,251,icon
396,238,467,253,button
439,259,462,277,icon
291,259,464,279,form
285,285,468,320,chart
284,321,467,356,chart
284,356,467,391,chart
284,391,467,426,chart
284,426,467,461,chart
288,468,303,484,icon
449,468,465,483,icon
453,492,466,506,icon
396,492,468,507,button
444,515,461,531,icon
292,513,462,534,form
286,254,469,284,block
283,462,468,535,block
287,91,377,112,button
377,91,467,112,button
333,124,342,136,icon
286,236,469,285,block
284,86,469,139,block
281,53,858,86,block
26,507,280,536,block
26,107,281,504,table
