xmin,ymin,xmax,ymax,class
37,29,63,55,icon
14,100,34,119,icon
15,140,32,160,icon
12,180,36,201,icon
14,221,34,243,icon
13,262,36,284,icon
12,302,36,323,icon
15,342,35,364,icon
14,381,36,405,icon
14,423,36,443,icon
11,676,37,697,icon
12,715,36,739,icon
12,755,36,780,icon
164,262,180,282,icon
163,300,183,321,icon
1,1,199,807,block
1029,5,1053,30,image
1104,12,1117,26,icon
199,1,1134,40,block
1085,65,1108,93,icon
715,59,1117,100,form
236,276,564,433,table
597,185,1097,434,chart
677,150,692,170,icon
225,122,1115,452,block
1001,572,1026,600,icon
1002,608,1028,635,icon
1002,644,1029,670,icon
1004,680,1031,705,icon
1005,715,1033,741,icon
1042,570,1069,600,icon
1043,610,1070,634,icon
1044,646,1069,670,icon
1045,679,1069,704,icon
1041,716,1069,741,icon
233,525,1106,760,table
224,474,1117,772,block
