xmin,ymin,xmax,ymax,class
27,52,74,102,logo
33,263,71,306,icon
32,336,73,374,icon
32,404,73,442,icon
32,469,73,508,icon
32,531,71,574,icon
24,745,77,794,image
11,27,91,811,block
175,737,204,762,icon
169,620,538,712,chart
163,212,537,599,chart
518,119,544,145,icon
163,77,531,187,block
626,109,675,156,icon
666,123,685,139,icon
779,362,795,377,icon
715,299,1011,398,block
593,76,994,394,chart
596,444,996,762,chart
1281,109,1331,157,icon
1246,373,1331,398,button
1260,747,1291,776,icon
1138,740,1299,785,button
1089,558,1331,703,block
1090,414,1141,464,image
1092,475,1141,526,image
1091,187,1330,340,image
1058,78,1362,762,block
