xmin,ymin,xmax,ymax,class
22,36,48,69,icon
21,172,51,203,icon
20,221,51,257,icon
19,272,52,312,icon
19,329,51,364,icon
19,382,51,417,icon
19,492,51,527,icon
20,547,52,582,icon
149,903,181,938,icon
940,783,972,818,icon
940,846,972,881,icon
939,910,971,945,icon
961,33,993,68,icon
1059,372,1091,407,icon
1060,465,1092,500,icon
1058,559,1090,594,icon
1219,32,1258,71,icon
1273,31,1312,70,icon
303,779,351,824,icon
304,842,352,887,icon
304,906,352,951,icon
56,732,185,827,image
1325,32,1365,72,image
709,30,998,73,form
1237,689,1356,796,chart
1238,843,1357,950,chart
1047,363,1339,441,chart
1047,454,1339,532,chart
1048,549,1340,627,chart
1039,134,1347,356,chart
1025,116,1365,653,block
1022,672,1363,809,block
1022,826,1363,963,block
292,693,986,956,table
278,669,1001,959,block
281,329,1001,653,chart
33,719,207,965,block
1,3,239,997,block
281,114,444,306,chart
466,113,629,305,chart
653,113,816,305,chart
837,113,1000,305,chart
51,900,188,943,block
