xmin,ymin,xmax,ymax,class
290,129,339,177,icon
84,154,315,384,chart
545,314,571,339,icon
378,304,586,354,button
606,305,725,351,button
746,303,864,352,button
74,35,121,76,image
1336,34,1381,75,image
1291,35,1326,75,icon
48,22,1417,89,block
1343,141,1389,165,icon
1011,128,1418,370,chart
251,544,301,578,logo
606,543,653,577,logo
960,543,1008,577,logo
83,457,315,592,chart
439,459,671,591,chart
794,458,1025,591,chart
1149,459,1240,548,chart
175,849,214,889,icon
530,850,567,888,icon
885,849,924,887,icon
1147,787,1196,834,image
1211,786,1257,834,image
1271,787,1318,834,image
1332,785,1378,835,icon
1112,497,1417,869,block
785,713,1038,821,chart
758,497,1063,868,block
431,716,681,822,chart
72,712,328,820,chart
400,497,709,872,block
46,495,353,869,block
