xmin,ymin,xmax,ymax,class
85,74,113,97,icon
83,122,113,151,icon
82,174,115,204,icon
82,224,114,253,icon
83,272,116,305,icon
83,325,117,360,icon
296,571,316,596,icon
717,572,740,597,icon
822,184,858,219,icon
867,183,903,221,icon
909,182,947,219,icon
947,77,967,96,icon
523,81,549,106,icon
857,77,905,120,image
589,230,720,335,image
351,555,747,739,chart
145,555,329,738,chart
142,277,751,539,chart
517,77,739,108,form
794,287,822,313,image
794,344,822,370,image
793,395,821,421,image
793,447,821,473,image
781,242,973,500,table
782,511,975,722,table
766,53,993,746,block
143,142,749,257,block
60,38,133,767,block
