xmin,ymin,xmax,ymax,class
12,19,52,52,icon
13,139,49,175,icon
11,211,47,247,icon
12,278,48,314,icon
10,355,46,391,icon
10,436,46,472,icon
1,73,65,853,block
1096,21,1132,60,icon
1145,19,1181,58,icon
1276,12,1325,64,icon
1,1,1367,74,block
1274,94,1328,118,icon
1062,133,1335,482,chart
1306,529,1326,547,icon
595,513,859,787,chart
860,512,1076,788,chart
1077,511,1337,790,chart
595,512,1340,790,block
929,176,946,195,block
439,133,1014,482,chart
177,292,381,335,button
168,369,268,408,chart
168,414,270,453,chart
141,135,414,483,block
176,615,521,684,chart
176,699,522,769,chart
143,518,546,795,block
