xmin,ymin,xmax,ymax,class
537,707,1206,871,chart
2,707,530,871,table
2,215,1466,655,table
1,34,27,61,icon
89,36,114,60,icon
174,36,197,61,icon
222,34,246,61,icon
272,35,294,62,icon
330,34,357,62,icon
401,34,425,63,icon
464,36,479,60,icon
519,34,535,61,icon
3,168,966,192,chart
971,141,1000,158,icon
360,114,378,131,icon
360,141,379,158,icon
795,113,818,130,icon
795,141,817,160,icon
2,217,29,240,icon
385,724,398,740,icon
383,741,398,757,icon
383,760,400,777,icon
382,779,400,794,icon
382,794,400,812,icon
381,812,400,830,icon
383,830,400,848,icon
382,847,400,865,icon
397,307,416,324,icon
398,324,415,341,icon
396,343,417,362,icon
397,362,416,379,icon
396,382,416,400,icon
397,401,416,417,icon
397,420,415,439,icon
399,440,416,456,icon
398,458,417,477,icon
398,476,416,494,icon
397,496,417,514,icon
396,515,417,532,icon
396,534,420,554,icon
397,555,420,573,icon
126,112,382,134,form
128,141,382,161,form
564,111,814,131,form
563,140,815,161,form
835,137,867,162,button
1,684,1286,871,block
1,104,1462,214,block
1,77,1005,101,block
1,34,537,62,block
