xmin,ymin,xmax,ymax,class
249,435,287,470,logo
247,511,287,548,logo
246,588,286,625,logo
246,667,286,704,logo
247,745,287,782,logo
247,822,287,859,logo
828,400,877,436,logo
1129,566,1169,603,logo
1131,630,1171,667,logo
1131,693,1171,730,logo
1132,758,1171,792,logo
1132,820,1171,854,logo
885,548,1090,585,block
1023,417,1179,455,form
1237,416,1387,456,form
1031,423,1051,448,icon
1245,425,1265,450,icon
588,334,627,373,icon
1024,336,1063,375,icon
1188,415,1227,454,icon
909,400,948,439,icon
587,394,887,444,form
566,313,973,501,block
1003,314,1410,502,block
568,528,1112,863,chart
1123,526,1414,865,table
235,376,554,865,table
491,299,525,332,icon
248,276,537,353,block
249,96,537,275,image
609,75,643,110,logo
997,136,1037,176,image
608,205,734,253,button
977,1,1411,303,image
569,43,1411,288,block
31,64,74,106,image
28,139,57,170,icon
30,209,59,240,icon
26,274,55,305,icon
30,332,59,363,icon
29,385,58,416,icon
30,437,59,468,icon
29,490,58,521,icon
1,34,217,890,block
