xmin,ymin,xmax,ymax,class
23,44,41,64,icon
171,45,191,63,icon
19,43,80,64,button
763,45,787,62,icon
715,77,815,104,button
771,11,815,30,button
748,12,763,30,icon
618,11,765,32,form
595,11,614,33,icon
557,10,618,33,form
520,8,551,37,icon
485,8,517,38,icon
1,40,840,67,block
1,1,839,114,block
252,138,272,159,icon
514,138,540,161,icon
782,137,808,162,icon
218,187,237,202,icon
103,227,121,245,icon
110,314,131,331,icon
234,314,255,333,icon
357,226,371,243,icon
519,207,533,221,icon
488,187,503,203,icon
365,314,381,329,icon
491,314,503,328,icon
755,188,765,201,icon
624,226,637,242,icon
634,314,650,331,icon
757,314,771,331,icon
27,134,281,368,block
294,134,548,367,block
561,134,814,366,block
814,293,840,387,button
518,385,540,407,icon
786,386,807,408,icon
775,459,786,474,icon
776,509,793,525,icon
779,561,794,577,icon
561,380,814,618,chart
521,462,533,478,icon
520,488,534,508,icon
520,518,536,534,icon
521,541,537,562,icon
523,568,537,586,icon
525,596,540,614,icon
28,380,549,617,table
40,662,53,681,icon
134,659,154,683,icon
227,657,247,680,icon
26,654,125,687,button
125,655,219,688,button
220,654,331,687,button
1,653,840,719,block
