xmin,ymin,xmax,ymax,class
1048,14,1068,36,icon
1014,15,1038,37,icon
552,12,572,33,icon
9,10,33,29,icon
1,1,1071,43,block
975,64,1000,93,icon
946,65,970,94,icon
621,63,648,91,icon
590,64,615,91,icon
673,65,695,89,icon
325,62,344,91,icon
666,59,1009,416,chart
316,55,656,415,chart
980,442,1004,466,icon
949,440,976,468,icon
918,440,942,468,icon
675,436,696,461,icon
668,429,1013,677,chart
621,438,649,465,icon
591,439,616,466,icon
323,436,344,461,icon
315,428,658,677,chart
216,47,235,73,icon
214,166,236,192,icon
212,302,235,323,icon
213,430,234,453,icon
20,247,44,271,icon
21,376,43,403,icon
17,506,44,533,icon
18,600,41,626,icon
22,204,49,234,logo
19,465,49,495,logo
17,559,49,589,logo
18,652,44,677,logo
3,161,239,196,form
7,298,237,326,form
7,430,235,456,form
2,44,244,162,table
2,162,244,277,block
1,298,243,407,block
2,429,241,540,block
1,548,242,631,block
1,641,242,675,block
1,44,243,677,block
