xmin,ymin,xmax,ymax,class
143,140,234,218,logo
22,16,159,81,image
169,16,245,83,icon
269,16,345,83,icon
346,16,422,83,icon
420,16,496,83,icon
1190,16,1266,83,icon
1612,18,1688,85,icon
1188,16,1698,87,form
2716,22,2777,81,icon
2783,22,2847,87,icon
2600,150,2659,218,icon
2663,150,2730,214,icon
2581,144,2737,220,block
14,11,504,91,block
2710,18,2849,85,block
1022,150,1834,207,block
488,342,541,377,icon
1885,446,1930,493,icon
2247,448,2302,497,icon
2581,432,2655,511,icon
1824,428,2173,516,button
2204,430,2545,511,button
147,264,2728,1073,chart
285,1232,361,1309,logo
283,1372,359,1449,logo
287,1517,363,1594,logo
285,1664,361,1741,logo
2351,1313,2426,1395,logo
2298,1593,2430,1652,logo
1524,1456,1586,1518,icon
2547,1454,2606,1514,icon
1828,1120,2306,1175,button
228,1083,1408,1811,table
1630,1281,2500,1695,image
1939,1730,2202,1765,image
1473,1077,2659,1811,block
2425,1125,2616,1172,button
