xmin,ymin,xmax,ymax,class
198,97,485,302,chart
501,99,788,253,chart
825,148,1066,292,image
198,27,242,74,image
25,29,134,69,logo
16,98,39,123,icon
22,144,52,174,icon
21,191,51,221,icon
21,238,51,268,icon
21,286,52,315,icon
21,333,52,361,icon
21,381,51,409,icon
21,581,40,602,icon
426,555,449,580,icon
719,494,737,515,icon
746,494,767,514,icon
819,44,844,68,icon
1024,42,1055,73,icon
1063,42,1093,73,icon
501,269,789,458,chart
519,519,778,589,chart
824,317,1083,591,table
1050,117,1073,138,icon
929,293,970,309,icon
222,368,337,447,chart
347,367,462,448,chart
222,459,337,536,chart
348,459,462,537,chart
1,1,168,625,block
806,43,998,71,form
1001,163,1047,189,logo
804,99,1093,601,block
499,479,788,599,block
224,553,460,581,button
198,322,486,601,block
