xmin,ymin,xmax,ymax,class
310,307,357,337,button
196,567,243,597,button
262,567,369,598,button
262,668,366,700,button
41,306,359,338,form
42,566,247,600,form
416,245,775,277,form
1157,290,1349,323,form
1361,291,1550,325,form
747,246,772,278,icon
1131,290,1156,322,icon
1414,70,1582,103,form
1535,71,1580,102,button
1512,8,1542,43,icon
398,9,785,41,form
1,1,1600,51,block
1,51,1600,134,block
2,135,1600,170,block
229,182,254,214,icon
34,351,61,379,icon
34,404,61,432,icon
34,459,61,487,icon
32,611,59,639,icon
36,812,63,840,icon
34,841,61,869,icon
1496,246,1560,279,icon
19,772,380,878,block
21,226,382,772,block
22,524,380,654,block
21,656,383,711,block
22,715,382,773,block
414,292,1026,323,block
1053,289,1556,327,block
392,229,1582,896,chart
1355,187,1378,209,icon
1453,187,1476,209,icon
