xmin,ymin,xmax,ymax,class
23,21,134,50,logo
219,21,258,51,icon
31,98,247,151,button
25,212,59,242,icon
24,257,60,291,icon
26,307,62,342,icon
26,354,62,389,icon
24,404,63,439,icon
26,455,62,488,icon
25,577,59,608,icon
25,622,61,655,icon
26,672,61,705,icon
223,963,254,990,icon
32,956,72,996,image
932,19,966,54,icon
921,15,1218,59,form
1287,17,1328,56,icon
1354,14,1399,58,icon
1083,453,1374,506,button
1335,222,1361,247,icon
745,130,772,159,icon
804,129,831,160,icon
847,129,878,162,icon
968,129,993,158,icon
346,244,374,271,icon
347,301,374,327,icon
347,361,374,385,icon
345,419,375,445,icon
345,477,372,501,icon
317,175,1018,530,table
1,1,1432,74,block
1,935,279,1019,block
1,1,279,1019,block
319,110,1020,532,block
1062,109,1398,531,block
598,584,624,617,icon
670,584,697,618,icon
1173,587,1199,618,icon
1232,588,1257,620,icon
1351,584,1373,616,icon
1274,587,1301,620,icon
894,634,1393,970,chart
880,571,1401,975,block
391,659,432,701,icon
387,731,430,773,icon
385,803,433,850,icon
389,880,431,928,icon
330,636,833,977,table
318,568,840,980,block
1099,232,1127,258,icon
1083,200,1375,267,form
1083,285,1373,349,form
1083,370,1374,436,form
741,125,998,162,block
1062,110,1229,176,button
1230,109,1398,177,button
