xmin,ymin,xmax,ymax,class
205,5,266,46,icon
269,6,304,46,icon
306,6,360,46,icon
2,49,34,102,icon
1109,60,1141,95,icon
1148,61,1190,97,icon
1326,11,1368,41,icon
1387,11,1428,46,icon
1434,10,1467,45,icon
1468,10,1495,44,icon
1511,7,1550,45,icon
1550,7,1573,41,icon
1573,7,1606,43,icon
1606,8,1646,46,icon
1669,11,1710,46,icon
1711,11,1746,45,icon
1744,10,1780,45,icon
1779,8,1818,45,icon
1818,6,1840,45,icon
1840,7,1874,46,icon
1711,68,1738,90,icon
1696,128,1726,158,icon
1733,126,1765,160,icon
1767,126,1794,158,icon
1794,124,1827,160,icon
1827,123,1849,161,icon
1854,123,1875,161,icon
1819,184,1853,223,icon
1855,181,1875,222,icon
273,126,291,159,icon
291,125,328,161,icon
204,186,261,214,icon
254,235,283,265,icon
428,185,449,216,icon
308,544,321,652,icon
892,317,923,350,icon
892,596,925,633,icon
891,852,924,889,icon
255,637,286,676,icon
253,685,288,725,icon
254,729,290,773,icon
254,776,289,816,icon
252,821,290,863,icon
251,869,290,908,icon
251,917,288,955,icon
250,963,290,1002,icon
1637,313,1679,352,icon
1613,600,1636,632,icon
1639,599,1678,635,icon
352,902,927,1004,table
973,361,1678,475,table
974,643,1677,755,table
958,840,1875,1005,chart
9,124,327,163,form
330,184,451,217,form
979,13,1040,40,button
1048,14,1109,41,button
1117,13,1178,40,button
1186,16,1247,43,button
1256,14,1317,41,button
1,1,1873,112,block
1,112,1873,171,block
1,172,309,1019,block
317,173,1874,285,block
334,300,941,565,block
337,582,943,823,block
957,302,1696,563,block
955,580,1694,821,block
335,837,944,1001,block
1707,299,1875,819,block
