xmin,ymin,xmax,ymax,class
536,1632,633,1730,image
657,1632,753,1728,icon
777,1630,874,1728,image
896,1630,993,1728,image
1016,1631,1113,1729,image
1135,1631,1232,1729,image
1274,1643,1336,1719,icon
1270,1521,1332,1597,icon
1187,1868,1295,1924,logo
536,1851,1316,1945,form
774,1355,833,1415,icon
538,1341,1325,1430,button
542,919,1325,1298,block
1095,732,1223,824,logo
176,58,297,168,logo
57,207,144,294,image
574,441,678,534,logo
540,387,1321,855,image
1167,272,1238,345,icon
1263,272,1334,345,icon
44,374,115,447,icon
44,487,115,560,icon
45,596,116,669,icon
44,706,115,779,icon
48,821,119,894,icon
48,930,119,1003,icon
43,1043,114,1116,icon
46,1728,117,1801,icon
51,1841,122,1914,icon
1,1,470,2036,block
1516,83,1591,151,icon
2582,81,2657,149,icon
2724,81,2799,149,icon
1506,72,2225,164,form
1550,290,1663,392,icon
1943,290,2056,392,icon
1548,694,1661,796,icon
1943,696,2056,798,icon
2710,283,2772,336,icon
2289,247,2808,983,chart
1504,241,1829,577,block
1898,241,2223,577,block
1892,643,2217,979,block
1503,650,1828,986,block
2719,1081,2804,1158,icon
1508,1883,1593,1960,icon
1442,1051,2823,1696,chart
2272,1751,2819,1832,block
2593,1866,2653,1926,icon
472,1,1389,2036,block
525,1626,1338,1747,block
1155,268,1340,349,block
1444,64,2816,168,block
