xmin,ymin,xmax,ymax,class
29,13,69,39,logo
310,93,346,128,icon
507,93,544,128,icon
707,92,743,128,icon
900,93,938,128,icon
1004,12,1033,39,image
1039,18,1054,31,icon
949,15,973,37,icon
918,14,943,39,icon
804,15,827,37,icon
107,183,187,259,icon
48,279,74,304,icon
54,318,76,340,icon
34,393,69,426,logo
232,398,250,420,icon
26,445,51,468,icon
224,535,255,559,logo
32,628,75,656,icon
29,671,263,707,button
29,77,263,357,block
28,386,264,433,block
27,529,264,565,block
26,584,54,610,image
65,585,94,612,image
105,584,132,612,image
146,585,174,615,image
233,585,264,615,image
406,111,453,134,image
799,108,848,135,image
995,109,1050,137,image
295,74,465,146,block
492,74,663,145,block
690,75,859,144,block
885,74,1057,146,block
797,200,816,218,icon
308,190,834,436,chart
294,173,846,448,block
900,225,937,262,logo
1001,228,1038,259,icon
902,282,935,316,logo
900,337,937,371,logo
902,393,937,429,logo
1007,287,1040,312,icon
1005,343,1041,371,icon
1003,396,1045,428,icon
878,171,1057,447,block
916,499,1013,590,image
888,655,1040,693,button
874,479,1057,709,block
791,495,812,512,icon
309,562,338,586,image
316,612,344,638,image
312,664,336,690,image
307,518,837,703,table
296,481,843,709,block
739,196,823,222,block
740,490,826,517,block
85,626,263,657,block
