xmin,ymin,xmax,ymax,class
30,23,175,69,logo
52,877,214,913,button
1231,34,1263,65,image
1173,34,1202,66,icon
1372,33,1401,65,icon
771,32,800,64,icon
32,150,61,182,icon
31,206,60,238,icon
32,263,61,295,icon
33,319,62,351,icon
32,374,61,406,icon
632,256,661,288,icon
1005,255,1034,287,icon
1369,229,1398,261,icon
1027,462,1056,494,icon
345,264,399,316,logo
720,260,774,312,logo
342,531,396,583,logo
532,530,586,582,logo
723,530,777,582,logo
911,533,965,585,logo
1103,517,1131,543,icon
1104,632,1132,658,logo
326,808,380,860,icon
327,892,381,944,icon
333,31,812,69,form
335,335,530,401,chart
716,337,891,394,chart
324,241,680,417,block
698,240,1054,416,block
325,514,484,699,block
514,516,673,701,block
704,516,863,701,block
894,513,1053,698,block
316,741,1060,964,table
1095,752,1405,968,table
1096,512,1404,607,chart
1095,622,1406,721,chart
1106,234,1161,288,icon
1107,322,1162,376,icon
32,684,234,930,block
1,1,271,1010,block
271,1,1426,98,block
