xmin,ymin,xmax,ymax,class
164,43,359,163,logo
125,328,190,391,icon
132,470,197,533,icon
113,614,178,677,icon
114,762,179,825,icon
112,904,177,967,icon
114,1648,186,1715,icon
1,2,533,1782,block
1675,63,1722,115,icon
1747,63,1794,115,icon
1819,61,1866,113,icon
2310,61,2357,113,icon
2380,61,2427,113,icon
2744,64,2791,116,icon
2477,54,2538,124,image
1666,56,1875,119,block
2301,46,2805,132,block
577,870,1883,1726,chart
1429,704,1481,756,icon
1742,343,1794,395,icon
1103,343,1155,395,icon
1199,420,1251,472,icon
664,337,723,398,icon
1307,337,1366,398,icon
635,311,1173,422,form
1272,313,1816,422,form
629,470,1173,583,form
1275,472,1820,583,form
1273,674,1818,782,button
2051,1224,2116,1289,logo
2049,456,2112,520,icon
2052,584,2115,648,icon
2050,712,2113,776,icon
2050,839,2113,903,icon
2050,967,2113,1031,icon
2051,1096,2114,1160,icon
2049,1353,2112,1417,icon
2049,1481,2112,1545,icon
2051,1610,2114,1674,icon
1978,467,2024,505,icon
1980,598,2026,636,icon
1978,726,2024,764,icon
1979,851,2025,889,icon
1979,981,2025,1019,icon
1979,1109,2025,1147,icon
1977,1240,2023,1278,icon
1977,1367,2023,1405,icon
1976,1491,2022,1529,icon
1980,1624,2026,1662,icon
1916,206,2805,1728,table
