xmin,ymin,xmax,ymax,class
49,114,150,212,image
43,41,184,74,logo
38,325,75,366,icon
39,378,76,419,icon
39,437,76,478,icon
38,492,75,533,icon
36,549,73,590,icon
37,604,74,645,icon
36,660,73,701,icon
37,968,74,1009,icon
1,1,255,1051,block
985,38,1017,74,icon
1265,36,1297,72,icon
1312,37,1344,73,icon
1360,37,1392,73,icon
982,35,1222,76,form
256,1,1433,114,block
1312,156,1389,186,button
871,518,888,542,icon
858,513,991,547,button
981,673,1005,700,icon
920,673,1010,703,form
757,672,1010,706,block
785,469,828,497,logo
520,467,557,499,logo
325,459,569,603,logo
305,721,1010,1004,chart
590,457,836,604,logo
304,437,1008,625,block
934,383,1010,416,button
1068,228,1109,268,image
1069,298,1110,338,image
1068,514,1109,554,image
1068,442,1109,482,image
1067,658,1108,698,image
1068,730,1109,770,image
1068,872,1109,912,image
1069,945,1110,985,image
1071,370,1109,408,logo
1069,584,1107,622,logo
1069,803,1107,841,logo
1049,208,1387,1006,table
323,229,357,258,icon
504,228,538,257,icon
685,227,719,256,icon
865,227,899,256,icon
389,231,411,253,icon
576,232,598,254,icon
757,232,779,254,icon
937,229,959,251,icon
306,210,467,339,block
487,211,648,340,block
667,212,828,341,block
847,210,1008,339,block
