xmin,ymin,xmax,ymax,class
86,60,126,94,icon
87,125,127,159,icon
86,190,126,224,icon
87,254,127,288,icon
88,321,128,355,icon
86,524,126,558,icon
86,592,126,626,icon
75,806,221,849,button
1215,836,1419,895,button
1215,761,1419,820,button
1231,243,1262,276,icon
1306,245,1337,278,icon
1382,244,1413,277,icon
1217,233,1275,291,button
1292,232,1350,290,button
1366,231,1424,289,button
1272,57,1369,153,image
53,702,258,908,block
21,27,287,938,block
1217,428,1281,490,image
1217,510,1281,572,image
1217,590,1281,652,image
1160,27,1481,938,block
356,229,419,294,icon
623,229,686,294,icon
892,231,955,296,icon
341,52,378,88,icon
992,53,1029,89,icon
1093,53,1130,89,icon
549,239,586,275,icon
819,240,856,276,icon
1086,238,1123,274,icon
289,28,1159,108,block
959,373,1103,418,button
1035,760,1072,796,icon
1035,812,1072,848,icon
1036,862,1073,898,icon
631,594,690,636,logo
1027,599,1081,630,logo
671,503,745,576,icon
1063,502,1137,575,icon
354,432,709,649,image
745,431,1100,648,image
351,760,384,789,image
352,812,385,841,image
350,865,383,894,image
333,712,1099,913,table
