xmin,ymin,xmax,ymax,class
1202,9,1223,28,icon
1285,4,1308,29,icon
339,499,362,516,icon
495,498,522,518,icon
57,688,77,707,icon
35,136,631,426,table
675,135,1326,415,table
877,661,906,684,icon
907,661,931,685,icon
932,661,954,685,icon
1085,686,1114,710,icon
1126,685,1157,711,icon
1171,686,1204,712,icon
39,663,60,682,icon
956,662,977,685,icon
1363,664,1381,683,icon
1380,644,1398,662,icon
1380,34,1397,56,icon
1280,4,1389,29,form
1199,7,1272,29,button
1,1,1399,31,block
13,44,1369,71,block
14,83,1349,549,block
310,437,632,537,block
1,658,1398,712,block
