xmin,ymin,xmax,ymax,class
28,64,156,93,logo
46,168,74,192,icon
47,238,71,262,icon
70,301,98,325,icon
68,360,97,388,icon
52,424,78,449,icon
65,487,90,512,icon
413,44,432,64,icon
979,38,1004,62,icon
1089,41,1112,66,icon
1115,41,1145,66,icon
1145,39,1170,68,icon
281,34,317,70,image
871,107,1316,276,image
407,326,443,360,icon
673,326,708,361,icon
939,325,974,362,icon
1205,326,1240,360,icon
1205,140,1289,222,icon
437,386,451,408,icon
703,386,717,408,icon
969,385,982,409,icon
1234,385,1250,411,icon
753,492,774,516,icon
790,492,813,515,icon
1271,487,1288,518,icon
995,631,1013,647,icon
801,558,835,590,icon
803,609,836,642,icon
802,660,836,692,icon
803,708,837,745,icon
801,761,837,795,icon
803,813,838,847,icon
239,464,861,892,table
897,618,1311,890,chart
261,222,354,253,button
373,223,466,253,button
475,36,1022,69,form
1231,36,1353,69,button
1083,34,1173,71,block
240,106,826,278,block
894,223,987,254,button
238,308,465,424,block
504,305,731,421,block
769,305,996,421,block
1035,306,1262,422,block
1299,306,1400,423,block
914,539,1296,607,block
897,465,1315,892,block
763,433,928,455,image
