xmin,ymin,xmax,ymax,class
27,53,74,99,logo
27,161,68,201,icon
26,223,67,263,icon
26,285,67,325,icon
27,345,68,385,icon
27,406,68,446,icon
26,769,67,809,icon
1188,38,1229,78,icon
1,4,89,861,block
749,37,790,77,icon
746,36,1062,78,form
1377,145,1393,163,icon
1096,206,1137,246,icon
1096,300,1137,340,icon
1096,385,1137,425,icon
1095,478,1136,518,icon
1095,565,1136,605,icon
1097,638,1390,793,image
1085,135,1404,620,table
1063,99,1433,862,block
91,1,1433,100,block
362,589,385,614,icon
771,644,814,670,icon
772,704,815,730,icon
432,704,475,730,icon
649,645,690,667,logo
424,754,698,795,button
287,585,389,618,block
426,635,698,676,block
762,636,1036,674,block
426,697,698,739,block
762,698,1035,736,block
120,636,392,794,chart
424,249,1036,541,chart
333,288,373,318,logo
119,184,391,336,image
335,446,377,474,logo
119,501,387,542,button
121,343,389,490,block
506,175,526,195,icon
425,138,1037,209,block
