xmin,ymin,xmax,ymax,class
29,17,120,46,logo
24,119,49,143,icon
24,156,50,180,icon
24,196,50,221,icon
24,229,53,261,icon
25,272,50,296,icon
25,310,49,337,icon
39,623,76,648,icon
76,623,105,648,icon
813,15,838,40,image
908,15,931,41,icon
247,78,271,97,icon
232,247,251,267,icon
170,280,199,309,icon
343,281,371,309,icon
516,281,544,309,icon
428,102,677,226,chart
246,417,267,436,icon
670,442,692,464,icon
146,442,693,683,chart
943,182,958,199,logo
943,266,959,283,icon
905,183,917,198,icon
905,267,918,283,icon
836,214,857,237,icon
730,460,751,480,icon
730,498,751,518,icon
730,534,751,556,icon
728,572,749,594,icon
729,610,749,630,icon
732,648,749,668,icon
721,424,970,678,table
1,1,996,55,block
20,113,130,380,block
1,56,146,708,block
165,101,417,226,block
165,269,332,394,block
338,270,505,393,block
510,270,678,394,block
710,416,981,683,block
710,100,981,394,block
728,345,964,381,button
729,172,963,210,form
729,256,964,293,form
167,332,327,393,chart
341,332,498,392,chart
516,332,674,394,chart
878,108,965,136,icon
238,451,252,469,icon
165,451,256,467,form
419,449,585,469,block
621,250,678,262,button
926,430,967,440,button
