xmin,ymin,xmax,ymax,class
4,5,166,52,logo
389,12,405,31,icon
823,24,868,41,button
815,171,846,189,button
795,104,817,136,image
738,125,876,207,block
851,227,871,264,image
741,270,753,289,icon
742,291,754,308,icon
740,328,753,344,icon
740,346,754,362,icon
741,363,754,381,icon
741,382,755,399,icon
741,401,754,419,icon
740,420,755,437,icon
740,438,755,456,icon
739,225,875,468,block
681,277,700,294,button
680,329,700,347,button
680,386,701,403,button
662,278,675,294,icon
659,331,674,347,icon
661,385,674,402,icon
538,276,675,294,form
538,332,675,348,form
538,384,675,401,form
528,118,545,138,icon
589,120,607,137,icon
178,187,723,510,table
133,351,148,364,icon
135,369,148,380,icon
119,403,139,421,button
19,349,147,364,form
23,368,149,382,form
29,404,115,419,form
16,500,31,511,icon
79,451,153,487,image
13,450,155,511,block
13,309,152,428,block
1,103,162,268,block
2,60,876,94,block
1,1,876,60,block
161,102,723,511,block
