xmin,ymin,xmax,ymax,class
14,9,106,47,logo
15,63,36,86,icon
14,96,35,119,icon
13,133,34,156,icon
13,168,34,191,icon
13,201,34,224,icon
13,238,34,261,icon
13,272,34,295,icon
13,308,34,331,icon
12,343,33,366,icon
12,378,33,401,icon
12,413,33,436,icon
197,11,218,34,icon
864,10,885,33,icon
894,10,915,33,icon
925,10,946,33,icon
966,11,987,34,icon
195,12,531,36,form
892,59,913,76,icon
892,59,986,79,button
194,80,986,149,block
747,492,762,510,icon
873,493,890,508,icon
745,492,861,511,button
872,493,987,512,button
195,490,988,586,table
818,203,844,226,icon
754,204,778,226,icon
750,203,845,227,form
876,204,897,227,icon
944,205,965,227,icon
868,203,966,229,form
194,186,987,478,chart
194,597,989,653,table
443,629,460,648,icon
919,599,943,619,icon
920,599,986,618,form
