xmin,ymin,xmax,ymax,class
77,42,168,132,image
214,457,235,477,icon
213,490,238,511,icon
1,1,246,788,block
257,14,417,66,logo
646,134,664,157,icon
575,338,668,363,button
269,125,675,370,block
645,397,663,416,icon
574,596,667,626,button
270,387,673,634,block
645,686,665,711,icon
386,688,406,708,icon
510,718,667,760,chart
281,720,447,760,chart
270,677,675,774,block
279,168,428,355,chart
472,206,642,299,chart
470,463,648,562,chart
280,436,431,618,chart
971,25,996,56,icon
967,23,1383,58,form
1217,85,1385,115,block
707,124,1375,212,block
708,246,984,507,block
707,540,984,774,block
1009,246,1386,507,image
1008,541,1384,774,image
