xmin,ymin,xmax,ymax,class
19,33,73,87,image
28,127,66,162,icon
27,199,69,238,icon
21,273,72,324,icon
25,354,70,398,icon
22,431,70,477,icon
18,870,69,914,icon
697,48,721,71,icon
696,399,722,425,icon
137,108,466,316,image
492,108,765,320,image
491,349,663,443,chart
341,583,370,616,icon
511,580,545,618,icon
683,581,720,617,icon
697,525,722,550,icon
137,648,186,697,icon
140,719,188,767,icon
140,788,184,834,icon
140,857,186,905,icon
549,659,572,684,icon
548,725,575,755,icon
547,798,573,828,icon
547,865,576,895,icon
582,659,608,684,icon
582,726,612,756,icon
580,797,611,828,icon
580,866,611,895,icon
810,454,1091,562,chart
1105,454,1386,561,chart
1361,386,1387,411,icon
997,605,1023,629,icon
1365,607,1387,631,icon
936,46,960,70,icon
972,46,997,70,icon
1363,46,1386,72,icon
807,106,1390,351,chart
828,746,847,766,icon
832,787,854,813,icon
860,787,887,814,icon
1125,748,1142,768,icon
1126,791,1151,813,icon
1156,791,1180,814,icon
831,933,848,952,icon
833,973,855,1002,icon
857,973,885,1001,icon
1126,932,1143,952,icon
1127,970,1151,1000,icon
1156,973,1182,1000,icon
810,670,1088,834,chart
1109,671,1382,837,chart
810,849,1090,1012,chart
1106,850,1383,1012,chart
94,1,765,478,block
1,1,95,950,block
95,477,763,948,table
388,255,445,293,logo
138,577,377,619,form
395,578,549,621,form
567,578,722,619,form
