xmin,ymin,xmax,ymax,class
1309,399,1360,425,logo
1111,401,1181,429,logo
1324,653,1405,687,button
1177,573,1296,605,button
1178,573,1209,605,icon
1054,641,1417,906,chart
1099,382,1370,542,image
1356,447,1390,480,icon
1066,348,1404,619,block
1153,108,1198,155,icon
1124,84,1433,313,block
278,137,324,183,icon
466,136,512,182,icon
657,136,703,182,icon
848,136,894,182,icon
334,259,356,280,icon
524,259,546,280,icon
711,258,733,279,icon
906,258,928,279,icon
262,122,433,292,block
450,121,621,291,block
642,121,813,291,block
830,121,1001,291,block
860,343,1002,370,block
256,334,1017,609,chart
979,703,1002,730,icon
977,758,1000,785,icon
977,809,1000,836,icon
979,863,1002,890,icon
979,638,1002,665,icon
881,637,961,668,button
260,700,287,730,icon
260,756,287,786,icon
262,807,289,837,icon
262,862,289,892,icon
255,635,1018,907,table
1071,33,1301,69,form
1315,33,1354,70,icon
1260,31,1299,68,icon
1366,32,1405,71,image
1068,31,1407,72,block
20,125,54,160,icon
21,171,55,206,icon
20,214,54,249,icon
21,266,55,301,icon
22,312,56,347,icon
20,360,54,395,icon
20,632,54,667,icon
20,683,54,718,icon
21,729,55,764,icon
21,853,55,888,icon
1,2,220,926,block
