xmin,ymin,xmax,ymax,class
658,36,858,145,image
27,56,51,80,icon
25,96,55,128,icon
24,144,57,176,icon
25,191,58,223,icon
24,235,58,270,icon
23,284,58,318,icon
24,330,57,363,icon
23,378,57,409,icon
22,422,57,459,icon
23,506,55,541,icon
22,553,55,589,icon
13,802,60,835,icon
885,99,918,128,icon
1071,99,1111,132,icon
1111,99,1150,133,icon
217,156,408,237,chart
391,169,404,183,icon
391,263,403,278,icon
389,356,401,371,icon
218,251,411,329,chart
216,342,410,421,chart
827,176,840,190,icon
425,157,859,422,chart
1108,169,1120,185,icon
891,203,919,232,logo
892,250,923,281,logo
892,300,924,330,logo
891,344,924,382,logo
891,393,924,429,logo
890,442,924,476,logo
890,489,925,525,logo
888,541,927,573,logo
890,644,921,676,icon
891,687,922,716,icon
891,729,920,756,icon
889,766,924,799,icon
1108,614,1118,629,icon
871,596,1134,831,chart
872,151,1136,581,table
214,435,531,583,chart
542,436,857,582,chart
829,456,844,469,icon
829,615,839,630,icon
835,650,848,672,icon
834,693,849,718,icon
834,740,850,764,icon
834,787,851,809,icon
231,642,270,676,image
236,688,269,721,logo
234,734,268,766,image
235,779,269,813,image
214,599,858,829,table
26,13,118,36,logo
872,90,1064,136,form
1,1,194,845,block
216,56,656,141,block
1066,612,1121,633,block
