xmin,ymin,xmax,ymax,class
34,18,74,57,icon
962,21,988,50,icon
1056,21,1091,52,icon
1100,18,1137,52,icon
1150,18,1185,52,icon
661,17,996,54,form
1,1,1267,77,block
1061,822,1232,986,image
1056,1062,1231,1098,button
1025,804,1250,1117,block
25,130,51,164,icon
29,177,64,217,icon
29,230,68,272,icon
31,282,71,326,icon
29,335,71,379,icon
29,392,74,435,icon
18,104,237,611,block
792,823,833,868,icon
791,936,838,980,icon
788,1050,835,1095,icon
773,804,999,892,block
769,918,997,1005,block
769,1028,998,1117,block
261,804,745,1119,block
286,880,319,909,icon
287,925,318,956,icon
286,971,317,1001,icon
285,1016,321,1047,icon
284,1061,319,1093,icon
274,854,731,1106,table
857,436,887,458,icon
967,436,996,459,icon
1171,392,1193,411,icon
1084,387,1197,414,button
1224,386,1241,415,icon
788,423,1238,759,chart
769,376,1252,777,block
293,723,465,758,button
543,722,717,756,button
527,435,735,687,chart
716,383,737,416,icon
515,374,745,776,block
283,661,474,683,chart
283,535,472,576,image
284,441,329,485,image
442,448,472,474,icon
464,383,481,414,icon
276,436,479,492,block
261,374,491,777,block
283,209,309,239,icon
487,208,518,241,icon
414,168,487,212,logo
294,155,500,292,image
535,155,705,294,table
747,113,979,328,chart
264,102,997,350,block
1036,217,1245,341,chart
1024,103,1251,349,block
