xmin,ymin,xmax,ymax,class
21,189,68,232,icon
25,250,68,286,icon
25,308,68,346,icon
23,433,67,469,icon
23,495,69,542,icon
24,563,67,601,icon
124,836,142,855,logo
295,423,327,454,icon
295,480,328,513,logo
296,539,329,572,logo
297,667,328,700,logo
295,725,331,761,logo
1081,5,1125,48,image
1027,9,1054,41,icon
1137,155,1181,198,icon
737,105,779,150,icon
772,160,816,204,icon
726,213,770,257,icon
808,388,822,405,icon
1092,383,1106,402,icon
299,82,620,253,image
654,377,927,555,chart
951,379,1195,557,chart
284,404,593,582,table
285,652,592,770,table
494,218,567,246,logo
32,32,203,70,logo
1079,6,1213,48,block
269,1,1222,66,block
650,103,779,150,button
686,159,818,204,button
640,212,770,257,button
873,114,1190,250,chart
677,685,793,795,block
806,684,922,794,block
936,684,1052,794,block
1066,684,1182,794,block
1,1,269,863,block
270,287,618,863,block
619,300,1223,863,block
270,65,1223,301,block
