xmin,ymin,xmax,ymax,class
15,21,64,72,image
15,128,59,174,image
195,137,226,162,icon
30,236,59,268,icon
31,290,60,322,icon
30,345,59,377,icon
29,402,58,434,icon
30,457,59,489,icon
29,510,58,542,icon
36,843,65,875,icon
37,896,66,928,icon
1,1,246,970,block
258,620,663,711,block
281,644,322,686,logo
287,578,361,608,image
307,718,343,757,logo
307,800,343,839,logo
307,882,343,921,logo
288,714,631,776,block
289,786,632,856,block
288,867,633,933,block
605,539,637,569,icon
395,444,427,474,icon
272,428,648,490,button
575,201,637,245,logo
273,157,648,332,image
271,115,301,149,icon
273,332,649,413,block
247,1,1352,92,block
1209,24,1259,72,icon
1277,24,1325,71,icon
246,93,673,970,block
732,243,943,292,button
692,121,1332,322,image
1256,343,1290,379,icon
1297,343,1331,379,icon
1201,343,1235,379,icon
709,402,745,439,logo
693,389,1332,609,chart
694,628,1332,944,chart
1253,410,1317,429,button
