xmin,ymin,xmax,ymax,class
23,42,168,82,logo
21,123,55,163,icon
19,181,58,218,icon
15,238,60,280,icon
18,294,59,338,icon
19,350,63,392,icon
17,407,57,451,icon
19,919,57,958,icon
19,968,59,1013,icon
1,1,203,1050,block
922,46,959,87,icon
532,45,972,92,form
1078,46,1118,89,icon
1337,56,1358,80,icon
1147,47,1190,91,image
463,180,492,209,icon
747,179,772,209,icon
1020,179,1056,210,icon
1316,179,1345,210,icon
245,156,504,330,block
532,155,788,329,block
816,155,1072,331,block
1100,155,1357,329,block
363,244,497,314,image
651,244,780,310,image
937,241,1064,317,image
1219,241,1350,311,image
257,176,304,224,icon
541,176,589,222,icon
827,175,872,224,icon
1114,176,1158,224,icon
1006,363,1356,539,image
1031,654,1077,698,icon
1033,721,1077,766,icon
1034,788,1077,832,icon
1032,855,1078,900,icon
1034,923,1077,967,icon
1017,598,1344,981,table
1008,571,1357,1000,block
813,391,844,422,icon
918,392,942,421,icon
857,393,889,422,icon
357,444,388,470,icon
266,508,960,787,chart
244,363,980,800,block
265,943,293,972,icon
877,853,959,888,button
928,946,960,969,icon
244,824,979,1004,block
808,385,951,429,block
700,462,951,491,block
1293,379,1345,409,image
1284,497,1339,523,logo
