xmin,ymin,xmax,ymax,class
17,145,54,178,icon
19,190,56,225,icon
19,236,58,274,icon
17,283,58,320,icon
18,331,58,368,icon
19,379,59,417,icon
586,104,622,136,icon
791,103,828,138,icon
585,221,629,263,icon
787,222,828,260,icon
1140,30,1170,56,icon
1186,27,1222,58,icon
1235,26,1270,59,icon
951,119,1029,196,image
982,297,1250,463,image
1025,613,1185,774,image
849,359,879,390,icon
109,332,889,656,chart
446,705,474,739,icon
839,706,870,736,icon
110,681,490,945,chart
521,686,892,950,chart
1,1,73,978,block
110,88,487,303,image
519,92,690,182,block
722,90,893,180,block
518,210,689,300,block
720,211,895,302,block
974,880,1257,921,button
952,228,1277,553,block
980,483,1247,524,button
951,584,1275,939,block
1197,311,1236,337,logo
