xmin,ymin,xmax,ymax,class
83,29,304,96,logo
2671,27,2742,94,image
2581,29,2646,96,icon
2492,29,2563,100,image
2477,242,2527,296,icon
2454,230,2746,307,button
2106,238,2162,298,icon
2087,225,2765,317,block
1,1,2838,129,block
29,409,535,748,block
537,407,1129,748,block
1129,405,2806,750,block
2054,423,2748,734,image
25,405,2808,750,block
410,823,473,873,icon
906,821,969,871,icon
76,932,139,982,icon
82,1055,145,1105,icon
77,1218,140,1268,icon
81,1384,144,1434,icon
76,1550,139,1600,icon
78,1713,141,1763,icon
1961,822,2024,872,icon
2711,822,2774,872,icon
2694,1058,2757,1108,icon
2695,1222,2758,1272,icon
2691,1391,2754,1441,icon
2695,1553,2758,1603,icon
2689,1718,2752,1768,icon
1262,1706,1329,1771,icon
1263,1539,1330,1604,icon
1263,1377,1330,1442,icon
1265,1215,1332,1280,icon
1265,1051,1332,1116,icon
396,815,975,882,form
1956,817,2254,875,form
25,761,2812,1827,table
