xmin,ymin,xmax,ymax,class
176,201,193,223,icon
1,1,216,693,block
246,65,354,92,button
366,66,491,92,button
955,12,984,41,icon
1006,12,1035,40,icon
1124,13,1147,38,icon
270,189,313,229,logo
271,281,314,321,logo
270,372,313,412,logo
272,529,315,569,logo
271,621,314,661,logo
269,619,312,659,logo
216,1,1169,104,block
575,394,591,413,icon
812,459,831,480,icon
811,519,829,542,icon
754,460,771,480,logo
753,523,771,542,logo
578,439,836,499,form
579,500,837,564,form
549,303,866,694,block
216,105,1169,694,table
