xmin,ymin,xmax,ymax,class
225,550,742,702,table
755,550,1005,703,table
225,232,740,535,chart
709,241,730,262,icon
29,682,75,704,icon
27,528,52,552,icon
25,491,50,518,icon
26,418,50,442,icon
25,380,52,406,icon
24,343,53,370,icon
24,306,53,337,icon
23,269,52,299,icon
23,234,50,261,icon
23,196,52,223,icon
25,157,51,187,icon
25,121,54,152,icon
25,84,54,114,icon
1,1,198,725,block
225,84,389,218,block
400,82,740,219,chart
755,83,1007,534,block
1144,129,1250,178,chart
1146,192,1251,241,chart
1149,252,1250,307,chart
1152,316,1250,369,chart
1148,383,1250,434,chart
1148,449,1249,494,chart
1030,126,1258,181,block
1031,189,1255,244,block
1030,254,1254,310,block
1031,317,1255,373,block
1030,380,1255,437,block
1030,444,1255,499,block
1030,507,1136,561,block
1150,506,1254,561,block
1030,570,1137,627,block
1149,569,1254,626,block
1031,636,1136,689,block
1150,634,1255,689,block
1018,81,1269,704,block
1240,27,1265,51,icon
1017,25,1270,54,form
763,28,782,47,icon
841,26,860,48,icon
888,28,907,49,icon
692,23,790,54,block
800,24,868,53,block
880,24,1004,52,block
659,239,730,263,block
