xmin,ymin,xmax,ymax,class
7,13,36,42,icon
60,12,135,44,logo
176,19,197,37,icon
248,20,264,37,icon
311,20,326,38,icon
816,17,842,40,icon
105,182,133,205,icon
104,223,135,249,icon
105,264,136,292,icon
107,311,133,334,icon
113,678,139,704,icon
1,1,156,740,block
157,1,917,55,block
734,97,753,118,icon
762,95,876,123,button
634,95,754,124,button
854,183,875,203,icon
826,185,846,206,icon
855,278,871,305,icon
857,328,874,357,icon
857,377,875,407,icon
856,427,875,456,icon
856,477,876,505,icon
855,525,875,553,icon
854,577,876,604,icon
209,678,226,704,image
762,678,870,704,button
189,673,890,707,block
189,177,891,214,block
189,236,892,633,table
953,673,1126,710,button
1153,674,1213,709,button
1215,675,1236,710,image
1223,356,1235,372,icon
1149,353,1238,376,icon
947,345,1252,604,chart
938,12,968,42,image
1073,17,1092,37,icon
1211,15,1232,40,icon
918,1,1266,52,block
919,54,1266,740,block
