xmin,ymin,xmax,ymax,txt
677,58,707,71,Search
68,122,166,146,Masudur
69,151,165,165,Business Acount
693,137,819,175,"$75,607"
1141,167,1281,183,Your earnings this month
699,177,761,191,Your Balance
335,221,541,241,1234 5678 9000 0000
695,224,793,245,Send Money
1102,196,1319,259,"1,509.89"
337,265,421,279,Masudur Rahman
555,265,581,279,7/24
1151,259,1289,275,21 Jun 2020 at 1:55 PM
85,273,173,289,Transactions
69,331,139,347,Payments
316,358,456,384,Transactions
69,387,111,403,Cards
317,414,376,438,History
407,412,494,438,Upcoming
894,420,930,428,This week
1110,413,1207,429,Plan For 2021
1263,425,1293,439,85%
69,443,127,459,Account
1110,430,1194,454,Complete
69,497,169,513,Administration
387,489,445,509,Paypal
833,497,921,517,"+$145,596"
387,509,499,523,"13 Sep, 2020 at 5:45 PM"
387,573,515,591,Bank of America
845,583,923,601,-$379.00
387,595,499,609,"13 Sep, 2020 at 5:45 PM"
387,649,519,667,Cash withdrawal
834,653,921,673,"-$145,596"
387,671,499,685,"13 Sep, 2020 at 5:45 PM"
311,751,393,771,Income
562,756,586,764,Month
657,743,748,771,Expense
908,752,932,760,Month
1075,761,1099,775,Apr
1129,761,1157,775,May
1181,761,1205,775,Jun
1229,761,1251,773,Jul
1283,761,1309,775,Aug
1339,761,1365,775,Sep
500,843,575,863,+$379.00
846,837,921,855,-$379.00
1186,834,1274,860,"1,509.89"
105,867,147,881,Log Out
543,867,575,883,33%
889,861,921,877,46%
1167,869,1295,883,"Spent $40,105 in half a year"
